238:79,S,'42',77@1:6,237
237:79,S,'42',77@1;77,S,76,73@1:73,236
32:86,T,89,86@0.021;89,T,'62',89@0.26:62_cluster_SspCNQ329.cluster001|f73c1e|2888-3066|8315|62_cluster_SspCNQ329.cluster001-3216-Item29-E-Item30-Cond_Fill_0,31
31:89,T,'62',89@0.26;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|2890-3068|4419|33_cluster_SspCNQ509-1694-Item31-E-Item32-Cond_Fill_0,58_cluster_WAC06738cluster004|d9a549|2880-3059|7880|58_cluster_WAC06738cluster004-3023-Item28-E-Item29-Cond_Fill_0
65_cluster_SspCNT371.cluster001|f326c5|2883-3062|8807|65_cluster_SspCNT371.cluster001-3384-Item31-E-Item32-Cond_Fill_0:86,TTD,-1,86@0.12;-1,TLFD,-1,'65'@0.77
26:90,S,89,86@0.35;89,T,84,89@0.2:22,25
25:89,T,84,89@0.2;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1356-1539|4411|33_cluster_SspCNQ509-1694-Item27-E-Item28-Cond_Fill_0,58_cluster_WAC06738cluster004|d9a549|1356-1539|7872|58_cluster_WAC06738cluster004-3023-Item24-E-Item25-Cond_Fill_0
22:89,T,84,89@0.2;84,S,'65',82@0.96:16,21
21:84,S,'65',82@0.96;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|180773|1360-1548|8607|64_cluster_SspCNQ865.cluster001-3328-Item27-E-Item28-Cond_Fill_0,20
20:82,S,'64','66'@1;'66',T,'66','63'@0.5:66_cluster_SspCNY243.cluster001|731b10|1365-1553|8958|66_cluster_SspCNY243.cluster001-3438-Item27-E-Item28-Cond_Fill_0,63_cluster_SspCNQ525.cluster001|4ed3e5|1361-1549|8498|63_cluster_SspCNQ525.cluster001-3272-Item27-E-Item28-Cond_Fill_0
16:84,S,'65',82@0.96;'65',T,'65','62'@0.48:65_cluster_SspCNT371.cluster001|f326c5|1361-1549|8799|65_cluster_SspCNT371.cluster001-3384-Item27-E-Item28-Cond_Fill_0,62_cluster_SspCNQ329.cluster001|f73c1e|1358-1542|8307|62_cluster_SspCNQ329.cluster001-3216-Item25-E-Item26-Cond_Fill_0
13:76,T,76,53@0.097;76,D,76,76@0.33:9,12
12:76,D,76,76@0.33;76,S,'57','59'@1:57_cluster_WAC06725|451761|2891-3069|7723|57_cluster_WAC06725-2978-Item23-E-Item24-Cond_Fill_0,59_cluster_WAC06783|42685d|2891-3069|7971|59_cluster_WAC06783-3059-Item23-E-Item24-Cond_Fill_0
9:76,D,76,76@0.33;76,S,'57','59'@1:57_cluster_WAC06725|451761|1346-1525|7715|57_cluster_WAC06725-2978-Item19-E-Item20-Cond_Fill_0,59_cluster_WAC06783|42685d|1346-1525|7963|59_cluster_WAC06783-3059-Item19-E-Item20-Cond_Fill_0
6:79,S,'42',77@1;'42',T,'42',76@0.5:2,5
5:'42',T,'42',76@0.5;76,S,'57','59'@1:57_cluster_WAC06725|09ed46|1425-1593|7684|57_cluster_WAC06725-2976-Item4-E-Item5-Cond_Fill_0,59_cluster_WAC06783|64e4a6|1409-1577|7931|59_cluster_WAC06783-3057-Item4-E-Item5-Cond_Fill_0
2:'42',T,'42',76@0.5;'42',D,'42','42'@0.33:42_cluster_WAC00631|c8684d|1371-1550|5465|42_cluster_WAC00631-2042-Item19-E-Item20-Cond_Fill_0,42_cluster_WAC00631|c8684d|2907-3088|5473|42_cluster_WAC00631-2042-Item23-E-Item24-Cond_Fill_0
